path,bytes,sha256
.gitignore,89,1be9aa7724be5f07389040388b095fad26ceb10abb878ee34674a6ab2952fb9a
aa_dtsx_datasheet.pdf,1315959,e21228ecab1572366d03e7090adfb1462411692e307a84326e44b1f2cb54cf31
acoustic_propagation_check.csv,2127,ae581bc3b55210e74dba5cbdac77622cc69f14579257185207d607d1e78e0f9d
all_points.csv,14042693,cf82763cbab6bea8c32580ae88e51ad416b306a3cf9b1f017c34ba76c5d99bf1
all_regression.log,1513,4a69cd0396c626b24d5b8678e873ddc1676f46d3bec510d58d0208c6318ee6b5
analysis.log,9870,308c977d5bf76237c4f737fb0c06f131d4d18de2e8ccafdb4f192109935c189a
analyze.py,15083,9d735c9bf3b63d138e1db6df3abf5cd0744f5afad22a6cc33207a91dc5d9b12d
artifact_verification.json,1901,b384e42c4e95832ca70019c31b8dbcbca700eeb60aa796e0432e8d75dd709a97
artifact_verification.log,1903,84d0f5b8dc2cc9de7cdddbd374a777aa861eb481923348d1fc60613ed37c45f2
AUDIT.md,4933,1a6825abf2bab60b1610ffa21a43fe1cfced54ed3a32e48c1c9d04bc0b246b42
benchmarks.json,4139,a1f995bc0174cbb23716dcbb8c2e3e9e7b3a78f621d6c9a5043f9d149195a4fc
benchmarks.log,3622,9ffd6cd88b9119352053ee0ca8940509eb829ef3f880fd1ed5cd72d9c6d4c7de
benchmarks_final.log,4141,c6279aa5391e045865662568c7e1a627e05c022a5a89977ca479cea382660d1a
bluvstein_publisher.html,3038,32ed63159c77e21ee19ca1b9aa3213ccf0218eb59539560b132a8e68ef0e18ea
boundaries.csv,43235,05501f4f64f62ba5945fd3e7ddf0cae325b8be41f312438022a55c64083aa55b
BOUNDARIES.md,12017,04e70939ab09c47c7ed98fe64b4d7e895d39bfc6128bbea285d290ead60e3feb
boundaries_before_validation_pool.csv,33353,0a723baa66f18a649553418f33a3f82bebd9c8490219a45dd3087af7389d41a4
boundary_comparison.png,123176,0b87b3aaea1afd28a948de244147f1f913ee64f33eefcf2ebf65be747dc4cc8f
boundary_comparison.svg,84035,4ae30b2980146a38b982725e455dd90bf568e90053da9ce328c74b25c674e43c
boundary_pool_comparison.csv,20345,72c77e05a544ecbd1f68c06343e64658a0d8d5f9b7cdca1a4d83f46cc7bbbc29
boundary_position_convergence.csv,12424,b3af3719d03a35b12f641366386a4d0e955234c78cf7a6389cc078708f8a8b55
boundary_steps.log,7498,0bba9e9a8013b9d444916f640f57223ffe9605ffe343ad35b468ce39813ac32c
boundary_steps_queue.json,50598,05c6e483bfee5ebab2ad41b8dbcc2c3da351e4cc3e533a6c346a3cb76c96dd6f
boundary_timestep_status.csv,13750,011f8c3ddd085b641dd463a182b7915789e4dd5c9d373ee9c4619c78f1e46736
coarse_queue.json,338978,1c8af8ce34da811b6cf3f131ddacb5f7eece7a5f1bb3749e50e476fb3f1d8bca
confirm_queue.json,82519,313ce7f469b84e6e93c3ab16ff7d9fdfbb26431a8af205e977741ff6d1051b7b
confirmation.log,20567,d748b924aeeddf5c58a2781084bd82c6aa26b0a30a91ba6bdc5ce1461054654a
confirmation_before_validation_pool.csv,1057562,32d4a117a2f94acd9b1fa78875576ccabe01bd4a39abbd87afc35da7577468ba
confirmation_selection.json,41172,657226be2b11774a3fe86a18b821c03008c964af6e80bae78cf7de2da6be2bbe
convergence_queue.json,67755,342ab04cc33cc11631d592bb03e0b8d6c9614b7d354662d111c4c30ad6457f7f
convergence_tail.log,834,22ce91d24ee9d0225c7bbdd0354c5050bd50760f2e1b05e60c4994e1a28ea0bb
depth_acceleration.png,98114,252aab1e0a364ddb1e1c7fdb6710f7366056bc6f159cce7cf91902baa723723f
diagnostics.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
diagnostics.py,4883,0f68f64c1c64d812e8ec157e0b3e46262080b26d2f532656907e64b3ca51bce3
distance_time_region.png,112226,a09682f92b17c6acc0180e21c2d94ce89e58b3ea7e20b7343fabd745e38c56a8
distance_time_region.svg,158129,d231e3ce975cd4406776bb2eb309fc19039bbfcfba4cecbf0670e07ef21731d4
edge_robustness.csv,181974,fd8900ed11c9ecaea52255d4e9537ea35c907250a595c644330c079a1392e145
edge_robustness.log,16938,47c84b801be97f3954ef25be8c98b02cec3fe705b2503771fb1415efc9fd89b0
edge_robustness.png,68891,c80cb527147a984f7f3cfca0e2acbc8cb5e0e8f2fae3b54d2a488d5b46144ba7
edge_robustness_queue.json,112411,0746918c5c9ba054618e5353822204fc66e503d08e50778984f8dcb6c4243c44
energy_conditional_loss.png,132903,ad10693e9ff5a6f3863ed181107c381803235520a88b389808c265d7294736ce
